stage,method,weight_boundary,threshold,sensitivity,specificity,mcc,w12,w23,w34,qwk,macro_f1
stage1,weighted,0.30000000000000004,0.7000000000000002,0.8110236220472441,1.0,0.6946277596735678,,,,,
stage1,weighted,0.30000000000000004,0.7500000000000002,0.7726377952755905,1.0,0.6517091912176597,,,,,
stage1,weighted,0.30000000000000004,0.8000000000000002,0.7165354330708661,1.0,0.5953960676843671,,,,,
stage1,weighted,0.30000000000000004,0.8500000000000002,0.6673228346456693,1.0,0.550930355896745,,,,,
stage1,weighted,0.30000000000000004,0.9000000000000002,0.6082677165354331,1.0,0.5022471504076808,,,,,
stage1,weighted,0.35000000000000003,0.1,0.9960629921259843,0.28368794326241137,0.46891483109892573,,,,,
stage1,weighted,0.35000000000000003,0.15000000000000002,0.984251968503937,0.375886524822695,0.5089292068652318,,,,,
stage1,weighted,0.35000000000000003,0.20000000000000004,0.9734251968503937,0.5354609929078015,0.610060716852027,,,,,
stage1,weighted,0.35000000000000003,0.25000000000000006,0.9547244094488189,0.6631205673758865,0.6638931136579493,,,,,
stage1,weighted,0.35000000000000003,0.30000000000000004,0.937992125984252,0.7730496453900709,0.7119555609723853,,,,,
stage1,weighted,0.35000000000000003,0.3500000000000001,0.9232283464566929,0.851063829787234,0.7424200316253243,,,,,
stage1,weighted,0.35000000000000003,0.40000000000000013,0.9114173228346457,0.8936170212765957,0.7536050802003961,,,,,
stage1,weighted,0.35000000000000003,0.45000000000000007,0.8956692913385826,0.9113475177304965,0.7414721967318795,,,,,
stage1,weighted,0.35000000000000003,0.5000000000000001,0.8799212598425197,0.9397163120567376,0.7388879690798831,,,,,
stage1,weighted,0.35000000000000003,0.5500000000000002,0.8661417322834646,0.9609929078014184,0.7352102629015651,,,,,
stage1,weighted,0.35000000000000003,0.6000000000000002,0.844488188976378,0.9787234042553191,0.7195834231681506,,,,,
stage1,weighted,0.35000000000000003,0.6500000000000001,0.8238188976377953,0.9858156028368794,0.6990436844744269,,,,,
stage1,weighted,0.35000000000000003,0.7000000000000002,0.7923228346456693,1.0,0.6732125147382213,,,,,
stage1,weighted,0.35000000000000003,0.7500000000000002,0.7539370078740157,1.0,0.6321734739502296,,,,,
stage1,weighted,0.35000000000000003,0.8000000000000002,0.6958661417322834,1.0,0.5762270831755025,,,,,
stage1,weighted,0.35000000000000003,0.8500000000000002,0.6505905511811023,1.0,0.5366717238139145,,,,,
stage1,weighted,0.35000000000000003,0.9000000000000002,0.5974409448818898,1.0,0.4937794618614066,,,,,
stage1,weighted,0.4,0.1,0.9960629921259843,0.2907801418439716,0.4755709645941208,,,,,
stage1,weighted,0.4,0.15000000000000002,0.984251968503937,0.3723404255319149,0.5057810657089431,,,,,
stage1,weighted,0.4,0.20000000000000004,0.9704724409448819,0.5460992907801419,0.6107318058244947,,,,,
stage1,weighted,0.4,0.25000000000000006,0.9547244094488189,0.6914893617021277,0.6853329331587504,,,,,
stage1,weighted,0.4,0.30000000000000004,0.9360236220472441,0.7801418439716312,0.7134402885535962,,,,,
stage1,weighted,0.4,0.3500000000000001,0.9202755905511811,0.8546099290780141,0.7398711766194844,,,,,
stage1,weighted,0.4,0.40000000000000013,0.905511811023622,0.900709219858156,0.7491820099568117,,,,,
stage1,weighted,0.4,0.45000000000000007,0.8917322834645669,0.9361702127659575,0.7538393670665432,,,,,
stage1,weighted,0.4,0.5000000000000001,0.875,0.950354609929078,0.739723756576765,,,,,
